from,to,numIncidents,arrested,ward,arrestDate
M000021,M000168,2,FALSE,4,NA
M000021,M000169,2,FALSE,4,NA
M000168,M000169,1,FALSE,5,NA
M000179,M000180,2,FALSE,3,NA
M000179,M000181,2,FALSE,3,NA
M000180,M000181,1,FALSE,3,NA
M000184,M000221,3,FALSE,5,NA
M000170,M000171,1,FALSE,5,NA
M000653,M000654,1,FALSE,1,NA
M000119,M000223,2,FALSE,3,NA
M000119,M000224,2,FALSE,3,NA
M000223,M000224,1,FALSE,4,NA
M000083,M000232,2,FALSE,1,NA
M000083,M000392,2,FALSE,1,NA
M000232,M000392,2,FALSE,6,NA
M000234,M000235,2,FALSE,3,NA
M000110,M000251,2,FALSE,6,NA
M000110,M000252,2,FALSE,6,NA
M000251,M000252,1,FALSE,5,NA
M000363,M000364,1,FALSE,5,NA
M000363,M000365,1,FALSE,5,NA
M000364,M000365,3,FALSE,5,NA
M000120,M000521,2,FALSE,6,NA
M000004,M000197,4,FALSE,5,NA
M000004,M000196,4,FALSE,5,NA
M000197,M000196,2,FALSE,5,NA
M000366,M000367,1,FALSE,3,NA
M000771,M000772,1,FALSE,3,NA
M000771,M000773,1,FALSE,3,NA
M000772,M000773,1,FALSE,3,NA
M000073,M000199,3,FALSE,1,NA
M000073,M000200,3,FALSE,1,NA
M000199,M000200,1,FALSE,3,NA
M000239,M000400,2,FALSE,1,NA
M000239,M000399,2,FALSE,1,NA
M000400,M000399,3,TRUE,5,NA
M000471,M000472,1,FALSE,5,NA
M000236,M000237,3,FALSE,3,NA
M000807,M000808,1,FALSE,3,NA
M000807,M000809,1,FALSE,3,NA
M000808,M000809,1,FALSE,3,NA
M000289,M000290,1,FALSE,1,NA
M000289,M000291,1,FALSE,1,NA
M000290,M000291,2,FALSE,1,NA
M000163,M000311,2,FALSE,3,NA
M000163,M000310,2,FALSE,3,NA
M000311,M000310,2,FALSE,1,NA
M000104,M000217,4,FALSE,2,NA
M000104,M000218,4,FALSE,2,NA
M000217,M000218,2,FALSE,4,NA
M000050,M000210,3,FALSE,3,NA
M000407,M000408,3,FALSE,5,NA
M000211,M000212,1,FALSE,5,NA
M000078,M000481,2,FALSE,2,NA
M000078,M000482,2,FALSE,2,NA
M000481,M000482,2,FALSE,1,NA
M000247,M000248,1,FALSE,1,NA
M000247,M000249,1,FALSE,1,NA
M000248,M000249,1,FALSE,1,NA
M000242,M000243,1,FALSE,5,NA
M000242,M000244,1,FALSE,5,NA
M000243,M000244,1,FALSE,5,NA
M000369,M000370,1,FALSE,1,NA
M000104,M000219,4,FALSE,2,NA
M000104,M000220,4,FALSE,2,NA
M000219,M000220,1,FALSE,6,NA
M000117,M000373,3,FALSE,2,NA
M000316,M000574,2,FALSE,3,NA
M000316,M000575,2,FALSE,3,NA
M000574,M000575,1,FALSE,3,NA
M000365,M000700,2,FALSE,5,NA
M000302,M000303,2,FALSE,5,NA
M000127,M000268,2,FALSE,4,NA
M000127,M000269,2,FALSE,4,NA
M000268,M000269,4,FALSE,6,NA
M000071,M000738,2,FALSE,3,NA
M000810,M000811,2,FALSE,1,NA
M000238,M000239,1,FALSE,1,NA
M000171,M000190,2,FALSE,5,NA
M000171,M000272,2,FALSE,5,NA
M000190,M000272,2,FALSE,5,NA
M000254,M000255,1,FALSE,2,NA
M000516,M000517,2,FALSE,3,NA
M000491,M000492,1,FALSE,3,NA
M000278,M000279,2,FALSE,5,NA
M000278,M000280,2,FALSE,5,NA
M000279,M000280,1,FALSE,5,NA
M000111,M000351,3,FALSE,5,NA
M000111,M000352,3,FALSE,5,NA
M000351,M000352,2,FALSE,2,NA
M000091,M000357,2,FALSE,3,NA
M000149,M000250,2,FALSE,6,NA
M000286,M000287,1,FALSE,5,NA
M000534,M000535,1,FALSE,5,NA
M000038,M000318,5,FALSE,6,NA
M000038,M000319,5,FALSE,6,NA
M000318,M000319,1,FALSE,5,NA
M000048,M000282,2,FALSE,3,NA
M000048,M000283,2,FALSE,3,NA
M000282,M000283,2,FALSE,5,NA
M000592,M000593,1,FALSE,3,NA
M000896,M000897,2,FALSE,3,NA
M000896,M000898,2,FALSE,3,NA
M000897,M000898,1,FALSE,3,NA
M000260,M000342,2,FALSE,5,NA
M000440,M000441,2,FALSE,1,NA
M000167,M000374,2,FALSE,1,NA
M000306,M000307,1,FALSE,6,NA
M000292,M000293,2,FALSE,1,NA
M000292,M000294,2,FALSE,1,NA
M000293,M000294,2,FALSE,1,NA
M000213,M000412,2,FALSE,3,NA
M000326,M000327,2,FALSE,3,NA
M000326,M000328,2,FALSE,3,NA
M000327,M000328,1,FALSE,3,NA
M000287,M000039,2,FALSE,5,NA
M000287,M000343,2,FALSE,5,NA
M000039,M000343,3,FALSE,6,NA
M000266,M000778,2,FALSE,2,NA
M000266,M000779,2,FALSE,2,NA
M000778,M000779,1,FALSE,2,NA
M000311,M000312,2,FALSE,1,NA
M000290,M000313,2,FALSE,1,NA
M000139,M000288,2,FALSE,5,NA
M000375,M000376,1,FALSE,6,NA
M000128,M000424,2,FALSE,5,NA
M000128,M000423,2,FALSE,5,NA
M000424,M000423,2,FALSE,3,NA
M000360,M000058,2,FALSE,5,NA
M000360,M000739,2,FALSE,5,NA
M000058,M000739,2,FALSE,1,NA
M000233,M000316,2,FALSE,3,NA
M000233,M000317,2,FALSE,3,NA
M000316,M000317,2,FALSE,3,NA
M000578,M000579,1,FALSE,6,NA
M000578,M000580,1,FALSE,6,NA
M000579,M000580,1,FALSE,6,NA
M000314,M000315,1,FALSE,2,NA
M000358,M000359,1,FALSE,3,NA
M000204,M000299,2,FALSE,5,NA
